motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Cross Right - 10 Reps,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
288,0.6393,0.51823,0.06968,-49.84,-20.19875,7.6075,0,0,0
289,0.61594,0.52527,0.04632,-67.88,-14.83875,13.7675,0,0,0
290,0.57242,0.35919,0.09272,-85.36,-4.67875,17.9275,0,0,0
291,0.54138,0.31439,0.0972,-68.52,2.40125,14.6075,0,0,0
292,0.50938,0.40079,0.054,-44.36,4.56125,9.9675,0,0,0
293,0.48538,0.44463,0.0316,-18.12,1.68125,5.8875,0,0,0
294,0.4729,0.43215,0.02552,-13.72,2.32125,5.3275,0,0,0
295,0.4601,0.47375,0.01176,-4.4,4.48125,4.6075,0,0,0
296,0.46586,0.51759,0.0556,-2.72,8.04125,5.5675,0,0,0
297,0.45562,0.51759,0.06008,-5.24,10.08125,6.3675,0,0,0
298,0.4393,0.44783,0.07416,-10.12,13.28125,7.2875,0,0,0
299,0.43994,0.42639,0.0492,-8.6,16.24125,7.1675,0,0,0
300,0.4569,0.44015,0.07128,-8.72,19.08125,5.5675,0,0,0
301,0.44986,0.42799,0.08632,-9.6,20.52125,3.7275,0,0,0
302,0.39034,0.39855,0.06072,-7.04,21.84125,-1.1125,0,0,0
303,0.4041,0.45391,0.0668,-3.56,22.44125,-4.5525,0,0,0
304,0.3833,0.49935,0.06808,-5,23.44125,-5.6325,0,0,0
305,0.38714,0.40175,0.08664,-11.4,25.88125,-7.2325,0,0,0
306,0.45818,0.34031,-0.00712,-3.72,26.92125,-8.4725,0,0,0
307,0.5017,0.38383,0.01432,5.44,27.92125,-9.8725,0,0,0
308,0.56986,0.51695,0.15768,12.88,33.92125,-10.7525,0,0,0
309,0.62138,0.55663,0.18776,-4.92,40.32125,-6.7925,0,0,0
310,0.72122,0.45199,0.19128,-22.4,44.80125,0.1275,0,0,0
311,0.80826,0.42159,0.21368,-21.16,46.60125,2.8875,0,0,0
312,1.04538,0.41967,0.22712,-5.6,52.68125,7.5275,0,0,0
313,1.37338,0.56815,0.30552,1.2,68.48125,16.9675,0,0,0
314,1.55002,0.57039,0.31192,-4.68,79.96125,23.0475,0,0,0
315,2.06042,0.39439,0.3948,-33.08,108.92125,43.0875,0,0,0
316,2.37114,-0.18961,-0.306,-137.76,148.32124,116.8075,0,0,0
317,2.43834,-0.50545,-0.50696,-163.6,147.72125,143.1275,0,0,0
318,2.61082,-0.42065,-0.97128,-185.76,137.36125,176.4875,0,0,0
319,2.30394,0.14927,-0.75272,-208.68,155.36125,139.2075,0,0,0
320,2.00954,0.52527,-0.69064,-251.48,142.96124,96.5275,0,0,0
321,1.79642,0.92527,-0.9396,-402.12,158.92125,-68.9125,0,0,0
322,0.2025,-1.57553,-1.33608,-450.24,256.84125,-243.1525,0,0,0
323,-5.43302,-0.53969,0.7116,-312.52,355.16125,-328.7925,0,0,0
324,-7.70694,0.52207,1.39032,-234.36,368.76123,-358.1125,0,0,0
325,-4.12326,0.38127,-0.68488,-304.76,92.92125,-280.5525,0,0,0
326,-1.0231,-3.44433,0.71416,-226.44,-158.75874,-22.1925,0,0,0
327,-0.55366,-1.86705,1.1388,-17.76,-126.27875,100.5275,0,0,0
328,-0.42278,0.14991,-0.51944,268.12,-60.99875,177.3275,0,0,0
329,0.25338,0.13903,0.04888,33.92,-32.07875,128.2875,0,0,0
330,0.32634,-1.84785,0.32344,-97.04,-5.91875,-16.6725,0,0,0
331,-0.35622,-0.69777,0.52312,89.76,35.44125,-54.3125,0,0,0
332,-0.59686,0.10095,0.50136,152.2,28.72125,-34.9525,0,0,0
333,-0.46822,0.25199,0.6284,122.8,12.92125,-9.9525,0,0,0
334,-0.25702,-0.06609,0.68824,34.28,-13.83875,30.4875,0,0,0
335,-0.20646,-0.39409,0.71128,-7.2,-23.91875,46.2875,0,0,0
336,-0.25702,-0.48721,0.68984,-0.16,-25.67875,49.8475,0,0,0
