motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
jjbhbhb,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
323,0.03125,-0.9375,0.015625,0,0,0,0,0,0
324,0.03125,-0.9375,0.03125,1.953125,0,0,0,0,0
325,0.015625,-0.953125,0.015625,-3.90625,0,0,0,0,0
326,0.03125,-0.96875,0.015625,0,0,0,0,0,0
327,0,-0.953125,0.03125,0,0,0,0,0,0
328,0.015625,-0.953125,0.046875,-1.953125,0,0,0,0,0
329,0.015625,-0.96875,0.015625,3.90625,1.953125,0,0,0,0
330,0.03125,-0.953125,0,3.90625,0,0,0,0,0
331,0.015625,-0.953125,0.046875,0,0,0,0,0,0
332,0.015625,-0.953125,0.015625,0,0,0,0,0,0
333,0.015625,-0.96875,0.03125,0,0,0,0,0,0
334,0.015625,-0.953125,0.015625,0,0,0,0,0,0
335,0.015625,-0.953125,0.046875,0,0,0,0,0,0
336,0.03125,-0.96875,-0.015625,0,0,0,0,0,0
337,0.03125,-0.953125,0.03125,0,0,0,0,0,0
338,0,-0.9375,0.046875,1.953125,0,1.953125,0,0,0
339,0.03125,-0.96875,0.015625,-1.953125,0,0,0,0,0
340,0.015625,-0.96875,0.046875,-1.953125,0,0,0,0,0
341,0.03125,-0.953125,0,-1.953125,0,0,0,0,0
342,0.03125,-0.953125,0,3.90625,0,1.953125,0,0,0
343,0,-0.953125,0.046875,0,0,0,0,0,0
344,0.015625,-0.96875,0.046875,-3.90625,0,-1.953125,0,0,0
345,0.03125,-0.953125,0,0,0,0,0,0,0
346,0.015625,-0.953125,0.015625,1.953125,0,0,0,0,0
347,0.015625,-0.96875,0.046875,-3.90625,0,0,0,0,0
348,0.03125,-0.984375,0,0,0,0,0,0,0
349,0.015625,-0.953125,0.015625,1.953125,0,0,0,0,0
350,0.015625,-0.953125,0.046875,0,0,0,0,0,0
351,0.03125,-0.984375,0,0,0,0,0,0,0
352,0.015625,-0.953125,0.03125,0,0,0,0,0,0
353,0.015625,-0.953125,0.046875,0,0,0,0,0,0
354,0.03125,-0.9375,0.015625,-1.953125,0,0,0,0,0
355,0.046875,-0.96875,0.015625,0,0,0,0,0,0
356,0.03125,-0.953125,0,0,0,0,0,0,0
357,0,-0.953125,0.046875,-1.953125,0,0,0,0,0
358,0.015625,-0.96875,0.015625,-1.953125,0,0,0,0,0
359,0.015625,-0.953125,0,1.953125,0,0,0,0,0
360,0.015625,-0.9375,0.03125,-1.953125,0,0,0,0,0
361,0.015625,-0.9375,0.03125,-3.90625,0,0,0,0,0
362,0.03125,-0.96875,0.015625,1.953125,0,0,0,0,0
363,0.015625,-0.96875,0.015625,0,0,0,0,0,0
364,0.015625,-0.96875,0.03125,0,0,0,0,0,0
365,0.03125,-0.9375,0.015625,-1.953125,0,0,0,0,0
366,0.03125,-0.953125,0,3.90625,0,1.953125,0,0,0
367,0.015625,-0.953125,0.046875,1.953125,1.953125,0,0,0,0
368,0.03125,-0.953125,0.015625,-3.90625,0,-1.953125,0,0,0
369,0.03125,-0.953125,0.015625,0,0,0,0,0,0
370,0.03125,-0.96875,0,0,0,0,0,0,0
371,0.015625,-0.9375,0.03125,0,0,0,0,0,0
372,0.015625,-0.953125,0.015625,1.953125,0,0,0,0,0
373,0.03125,-0.953125,0,0,0,0,0,0,0
374,0.03125,-0.9375,0.015625,1.953125,0,0,0,0,0
375,0,-0.953125,0.03125,-1.953125,0,0,0,0,0
376,0.03125,-0.9375,0.015625,0,0,0,0,0,0
377,0.015625,-0.96875,0.015625,0,0,0,0,0,0
378,0.015625,-0.953125,0.03125,0,0,0,0,0,0
379,0.03125,-0.96875,0,0,0,0,0,0,0
