motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
"Free hand - 10 steps - low,normal,quiet,high",1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
238,1.1361933,-0.26951548,-0.05328075,6.5360823,-1.0140404,-79.47375,0,0,0
239,1.1454674,-0.22509705,-0.06694795,1.1793238,12.012621,-78.68241,0,0,0
240,1.1505927,-0.1928815,-0.0752459,-15.377929,23.456606,-78.98677,0,0,0
241,1.1088588,-0.15822537,-0.07231721,-60.17991,39.22252,-79.047646,0,0,0
242,1.070786,-0.18482761,-0.03448834,-83.06787,43.179214,-83.12608,0,0,0
243,1.0275878,-0.22802573,-0.014719702,-107.477646,43.66619,-84.34353,0,0,0
244,0.99390787,-0.27952182,0.0070013925,-131.21782,38.91816,-84.58701,0,0,0
245,0.9778001,-0.3459054,0.035800148,-149.54037,32.404827,-84.03917,0,0,0
246,0.96144825,-0.39959797,0.038484775,-161.28873,26.987196,-83.61306,0,0,0
247,0.9404593,-0.43937933,0.041169405,-164.94106,21.813053,-82.27387,0,0,0
248,0.90922004,-0.44987378,0.026281914,-161.1061,18.221592,-79.53462,0,0,0
249,0.8718793,-0.44840944,-0.004225241,-150.27084,16.030191,-77.16061,0,0,0
250,0.8413721,-0.46402907,-0.045714974,-111.069115,10.916921,-72.716934,0,0,0
251,0.85357493,-0.4772082,-0.057917837,-85.746254,7.6298194,-69.91681,0,0,0
252,0.8799332,-0.49233973,-0.050108004,-59.38857,6.047141,-66.690575,0,0,0
253,0.89848155,-0.4925838,-0.059138123,-35.039665,6.777608,-63.220856,0,0,0
254,0.904827,-0.43205762,-0.036440797,-8.621108,10.003838,-54.02915,0,0,0
255,0.8970172,-0.3732398,-0.020821134,-13.430017,9.212498,-43.98522,0,0,0
256,0.89994586,-0.3676265,0.007977621,-23.778301,7.690692,-37.289276,0,0,0
257,0.9023864,-0.37006706,0.018960197,-35.4049,5.9862685,-30.471584,0,0,0
258,0.9023864,-0.36933488,0.031651173,-47.822838,4.0383563,-23.288658,0,0,0
